scorer,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020
bodyparts,head1,head1,head1,body1,body1,body1,tail1,tail1,tail1,head2,head2,head2,body2,body2,body2,tail2,tail2,tail2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,47.982708,600.5334,0.19649678,36.00104,594.4858,0.28038046,35.557648,606.22235,0.1944754,294.50195,536.3575,0.3060519,37.696735,566.1454,0.21162507,35.385643,583.6573,0.14547475
1,48.473907,600.7144,0.19796894,36.232075,594.804,0.28905326,35.557205,606.9,0.20189275,294.04257,536.53217,0.29780024,37.481823,565.98987,0.2167832,35.32307,583.5251,0.1479734
2,48.40241,600.5064,0.1960845,36.051502,594.6222,0.2919464,35.4158,606.6511,0.2040147,293.61655,536.5194,0.29609573,37.262486,566.50006,0.20990175,35.14472,583.80566,0.1423343
3,48.441578,600.38745,0.19641492,36.187817,594.69165,0.29062667,35.359554,606.702,0.20124115,294.00598,536.51294,0.3008373,37.824055,566.786,0.20564097,35.502167,583.80774,0.14504552
4,48.227623,600.2197,0.18889987,36.340523,594.48083,0.28240207,35.341415,606.4149,0.19632095,294.14944,536.3389,0.30158088,37.70971,566.4308,0.20871039,35.216755,583.3589,0.13958326
5,48.19378,600.3105,0.19120872,36.452015,594.3702,0.28700545,35.537697,606.31055,0.19724543,293.62314,536.37305,0.3048107,37.320133,566.2393,0.21863566,35.22991,583.30176,0.14450487
6,48.676426,600.1948,0.1990167,36.492767,594.07837,0.28430632,35.941864,606.5139,0.19512413,293.2283,536.3614,0.30320233,37.15786,566.3271,0.213448,35.486618,583.56354,0.14032516
7,48.55583,599.8427,0.19379312,36.469963,593.9273,0.28335345,35.484367,606.0682,0.19717936,293.09747,536.39435,0.2973385,37.77428,566.9827,0.21214059,35.672745,583.8956,0.14533487
8,48.626442,600.2394,0.198003,36.484695,594.3582,0.28950584,35.652332,606.3976,0.2015061,293.37915,536.3388,0.29295108,37.62574,566.8084,0.21184197,35.680008,584.1675,0.14611702
9,48.620117,600.16785,0.19940674,36.536392,594.2157,0.29083613,35.531544,606.14075,0.2042289,293.06277,536.30176,0.2890351,38.036846,566.6795,0.21352229,35.97815,584.3471,0.1512422
10,48.811142,600.1994,0.2050972,36.397247,593.94006,0.28542617,35.84484,606.10596,0.20083138,293.25122,536.4489,0.28896978,39.471786,579.2268,0.2104953,36.049553,584.49725,0.14690286
11,48.774426,599.894,0.20171598,36.72766,593.67377,0.27922693,36.011646,605.8913,0.194043,292.39886,536.2828,0.28796625,39.430443,579.0711,0.21033368,35.9844,584.43695,0.15111631
12,47.7828,600.0966,0.20164081,35.96394,593.3915,0.28782383,35.535805,605.4785,0.19353336,294.5103,536.654,0.27883318,37.444473,566.68665,0.21628383,35.118523,584.34814,0.1506013
13,48.215157,599.87805,0.2029795,36.012466,593.3593,0.28570735,35.670742,605.66144,0.1905571,292.877,535.8319,0.2860122,37.557182,566.5152,0.2135143,35.365444,584.55383,0.14554602
14,48.185593,600.2129,0.19147055,36.287563,594.0151,0.2754061,35.989307,606.292,0.18837528,293.14532,535.6438,0.28682488,37.840813,566.6249,0.20560175,35.54838,583.99005,0.13412
15,48.03429,599.33673,0.19687368,36.49947,593.2283,0.27671745,35.718678,605.40936,0.185517,292.4919,535.7466,0.2795323,37.48713,566.2947,0.21487781,35.335606,583.52576,0.14094193
16,47.86547,599.72784,0.19945166,36.05913,593.50415,0.28464857,35.48716,605.5407,0.19195367,292.02777,535.5626,0.2760086,37.368786,566.4982,0.20714828,35.207623,584.14575,0.13905418
17,47.9472,599.22327,0.19348297,35.96261,592.8368,0.26845315,35.602135,605.1274,0.17885877,291.82495,535.7049,0.28063974,37.679176,566.29736,0.2103004,35.732285,584.4502,0.14252245
18,48.213615,599.6142,0.19601718,36.2952,593.25616,0.27045462,35.706013,605.3997,0.18689525,293.78198,535.1085,0.27833593,37.553852,566.19934,0.2144349,35.65765,583.9895,0.14361921
19,48.20646,599.3631,0.19796717,36.3915,593.37384,0.28495675,35.243828,605.2069,0.19228263,292.9858,535.9379,0.2757082,37.62576,566.23535,0.21535385,35.429874,583.93945,0.14390731
20,47.996918,599.55896,0.19622919,36.72768,593.73303,0.27196294,35.28438,605.428,0.1864566,292.87576,536.0634,0.27419,37.96039,566.4509,0.20774463,35.76982,583.6379,0.14363867
21,48.27135,599.5154,0.1967658,36.478577,593.71954,0.27949494,35.457626,605.55634,0.18683723,293.9505,534.6947,0.26420096,44.971474,567.6889,0.20757197,47.94147,570.89435,0.14261177
22,48.303978,599.3612,0.19917257,36.378273,593.3878,0.27588746,35.541306,605.35223,0.18783683,292.9837,535.289,0.2628904,44.975323,567.41815,0.21131194,35.82293,584.13086,0.14691193
23,48.543842,599.89075,0.20236056,36.426216,593.6367,0.2823724,35.8341,605.5281,0.19459154,294.39603,533.7637,0.25541264,44.90933,567.3851,0.21183348,47.983826,570.6798,0.14721794
24,48.50574,600.0461,0.21089092,36.06243,593.10785,0.29985487,35.762783,604.9707,0.20351008,293.7185,533.46643,0.25831673,44.825897,567.20355,0.22249527,48.10963,570.5518,0.15065251
25,48.38503,599.9015,0.21180147,36.375885,593.29816,0.30003947,35.618744,605.08704,0.20581,293.9052,533.5234,0.24894612,44.612007,567.10565,0.21861349,47.95812,570.5768,0.14796796
26,48.34761,599.59875,0.20794642,36.617317,592.8637,0.28604975,35.803207,604.60767,0.20095477,293.74637,533.0108,0.24567202,44.73995,566.6276,0.21995035,47.95131,570.1737,0.15255883
27,48.254147,600.0463,0.20144546,36.47677,593.397,0.28690818,35.81712,605.1391,0.19990377,294.53873,533.0715,0.25944343,44.66605,566.71704,0.21668349,47.7293,570.07947,0.15346941
28,47.92021,599.9744,0.2007077,36.232353,593.17487,0.27920735,35.79926,604.8645,0.19358897,294.62787,531.64136,0.25187856,38.648445,565.2508,0.21790552,47.77481,570.0187,0.15524456
29,48.00367,600.0836,0.20323476,35.95331,593.4384,0.2878735,35.63883,605.27466,0.19612391,294.25482,530.6794,0.2636562,44.787205,566.6208,0.22304611,47.91136,570.24646,0.15889913
30,47.903088,600.0728,0.20089948,36.30014,593.511,0.2907302,35.625275,605.0634,0.19647832,295.8516,531.6835,0.27112275,44.818645,566.74866,0.21971682,47.80701,570.41693,0.15694264
31,47.839104,599.9297,0.20392826,36.16535,593.5283,0.29308042,35.508,605.1305,0.19910969,294.72476,529.7915,0.2777541,44.962772,566.6798,0.21987963,47.90414,570.3456,0.15689282
32,47.898434,600.2896,0.19667211,36.11995,593.8069,0.29278618,35.53988,605.537,0.19754751,294.50253,529.4964,0.28256696,45.015457,566.1859,0.21847084,47.989155,569.8813,0.15866467
33,47.662994,600.3273,0.20143689,35.93231,593.7177,0.28852215,35.51304,605.42456,0.19667199,294.44806,528.76697,0.2891078,38.030155,565.3406,0.21106529,47.90311,570.0413,0.1530954
34,47.62498,600.31854,0.20310225,35.863876,593.6304,0.29113537,35.525505,605.2068,0.2016242,294.27078,528.1329,0.2950462,44.84696,566.54614,0.21684563,48.039093,570.3197,0.1551962
35,47.755386,600.3537,0.20436351,36.19809,593.99396,0.28777596,35.60618,605.6247,0.19559546,294.0076,527.8365,0.29598126,45.056297,566.37305,0.21286693,47.989754,570.2201,0.15368034
36,48.109127,599.7356,0.20769736,36.566708,593.2847,0.28873935,35.73033,604.97955,0.19219477,294.15176,526.7916,0.29539633,44.659157,566.69135,0.21058033,47.705437,570.4201,0.14720356
37,48.10871,600.072,0.19780003,36.586483,593.806,0.28860208,35.624775,605.4923,0.19458474,293.91956,526.5281,0.29485977,44.766167,566.42554,0.21326618,47.699574,570.3269,0.15312913
38,47.931244,600.2268,0.20616621,36.537422,594.05804,0.29444867,35.439613,605.42957,0.20296808,293.47302,526.0068,0.28494263,45.089996,566.256,0.21442579,47.73185,569.99945,0.1559923
39,47.802895,599.9197,0.20209214,36.22367,593.5145,0.28539634,35.449566,605.0888,0.19484565,292.66412,527.5944,0.2960444,45.09066,566.32104,0.21185675,47.71944,569.9087,0.15331624
40,48.238377,600.19684,0.19844976,36.43905,594.2245,0.29078493,35.55288,605.88544,0.19677065,293.8843,524.7599,0.31190842,45.088417,566.4198,0.20773374,47.823193,570.0437,0.14728764
41,48.31068,600.304,0.20630534,36.285748,593.6329,0.29055372,35.731503,605.44214,0.19712822,293.9927,524.8498,0.3116706,45.14605,566.1844,0.20678255,47.889423,569.98303,0.14930665
42,48.21621,600.5199,0.20433939,36.162388,593.8501,0.28938937,35.669777,605.41595,0.19578372,293.22736,523.8958,0.31631547,45.16717,565.8943,0.2105492,47.874916,569.63763,0.15178567
43,48.011513,600.2469,0.19851428,36.20954,593.6946,0.27697235,35.908825,605.47833,0.1894166,292.871,523.6228,0.3104291,38.204384,565.354,0.20448354,47.603783,569.96246,0.14586131
44,48.155605,600.1674,0.2019772,36.198666,593.6937,0.28119954,35.833782,605.2837,0.19095202,292.45267,523.47723,0.31171525,45.096992,566.28467,0.2085262,47.71625,570.00305,0.1492705
45,47.977158,600.14954,0.20399776,36.214035,593.8076,0.28424376,35.598316,605.2624,0.19978368,292.78372,523.15546,0.31455863,45.1167,566.45044,0.21139652,47.90343,570.2601,0.15287445
46,48.33098,600.192,0.21208932,36.786198,593.98706,0.2929344,35.795532,605.3382,0.20615982,292.768,522.81323,0.32046282,45.33683,566.44977,0.20736182,47.95858,570.27997,0.14750639
47,48.104965,600.1215,0.20199677,36.650562,594.2449,0.28777802,35.553745,605.64465,0.19634987,292.35297,522.81866,0.33167925,45.403343,566.4105,0.20891207,48.037525,570.1701,0.15347493
48,48.090023,599.63434,0.20773965,36.837353,594.08527,0.2987169,35.27385,605.5153,0.19913793,291.94843,521.6439,0.33336467,45.05024,566.1724,0.22032742,47.43808,569.9584,0.16432713
